ServicerIdentifier,NoteDate,PropertyValuationEffectiveDate,NoteAmount,CurrentBalance,CurrentInterestRatePercent,ScheduledFirstPaymentDate,LoanMaturityDate,LastPaidInstallmentDueDate,PropertyValuationAmount,LtvRatioPercentCurrent,CreditScoreValueRecent,TimesDq,Dti,CeilingRatePercent,FloorRatePercent,MarginRatePercent,Vintage,TypeProd,StateCode,Cbsa,NoteRatePercent,Age,MonthsUntilRateReset,IsCurrentlyIo,LastPaymentReceivedDate,NextPayDate,MonthsDq,LtvRatioPercent,IsArm,CurrentLtvRange,PaymentType,DelinquencyCategory
Select Portfolio Servicing,11/1/2005,11/1/2005,69900,52123.04,6,11/1/2005,12/1/2020,10/1/2019,477459.0164,14.64,657,0,42,0,0,3,2005,Fixed,IL,16980,6,167,0,FALSE,9/1/2019,11/1/2019,0,19.63,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,5/1/2006,5/1/2006,122000,98936.17,4.75,5/1/2006,7/1/2036,10/1/2019,783055.199,15.58,725,0,40,0,0,3,2006,Fixed,IL,16980,4.75,161,0,FALSE,9/1/2019,11/1/2019,0,19.21,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,11/1/2005,11/1/2005,34000,9358.87,8.05,11/1/2005,12/1/2020,10/1/2019,1236363.636,2.75,717,0,40,0,0,3,2005,Fixed,CO,19740,8.05,167,0,FALSE,10/1/2019,11/1/2019,0,10,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,2/1/2005,2/1/2005,61000,3868.33,8,2/1/2005,5/1/2020,10/1/2019,3630952.381,1.68,694,0,40,0,0,3,2005,Fixed,FL,19660,8,176,0,FALSE,9/1/2019,11/1/2019,0,26.56,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,1/1/2004,1/1/2004,33800,3945.67,2,1/1/2004,3/1/2034,10/1/2019,1450643.777,2.33,736,0,40,0,0,3,2004,Fixed,NV,29820,2,189,0,FALSE,10/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,8/1/2004,8/1/2004,51200,1334.93,2,8/1/2004,3/1/2020,10/1/2019,9846153.846,0.52,749,0,34,0,0,3,2004,Fixed,CA,31080,2,182,0,FALSE,9/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,12/1/2007,12/1/2007,125000,98056.12,5,12/1/2007,2/1/2041,10/1/2019,630994.4472,19.81,784,0,34,0,0,3,2007,Fixed,NV,29820,5,142,0,FALSE,9/1/2019,11/1/2019,0,25.25,FALSE,0.01 - 59.99,NeverBad,Current
Rushmore,11/1/2006,11/1/2006,89900,70902.44,6,11/1/2006,12/1/2036,10/1/2019,112375,80,566,99,42,0,0,3,2006,Fixed,AR,40780,6,155,0,FALSE,12/1/2018,11/1/2019,9,,FALSE,80.00 - 89.99,Reperforming,In Foreclosure
Rushmore,11/1/2006,11/1/2006,197000,124294.47,3.125,11/1/2006,12/1/2046,10/1/2019,246250,80,421,99,42,0,0,3,2006,Fixed,NM,10740,3.125,155,0,FALSE,9/1/2018,11/1/2019,12,,FALSE,80.00 - 89.99,Reperforming,In Foreclosure
Select Portfolio Servicing,12/1/2007,12/1/2007,34200,29279.9,8.74,12/1/2007,12/1/2037,10/1/2019,216045.4833,15.83,713,0,40,0,0,3,2007,Fixed,NJ,37980,8.74,142,0,FALSE,9/22/2019,11/1/2019,0,18.49,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,1/1/2008,1/1/2008,75000,52260.05,7.49,1/1/2008,2/1/2038,10/1/2019,547845.1424,13.69,678,0,40,0,0,3,2008,Fixed,FL,33100,7.49,141,0,FALSE,10/1/2019,11/1/2019,0,19.64,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,2/1/2008,2/1/2008,32000,26558.58,7.13,2/1/2008,2/1/2038,10/1/2019,120481.9277,26.56,637,0,42,0,0,3,2008,Fixed,IL,16980,7.13,140,0,FALSE,8/23/2019,11/1/2019,0,32,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,4/1/2007,4/1/2007,101000,27898.42,2,4/1/2007,7/1/2022,10/1/2019,1321989.529,7.64,735,0,40,0,0,3,2007,Fixed,MN,33460,2,150,0,FALSE,9/1/2019,11/1/2019,0,27.67,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,12/1/2007,12/1/2007,25000,17209.95,2,12/1/2007,2/1/2038,10/1/2019,370370.3704,6.75,804,0,34,0,0,3,2007,Fixed,CA,40900,2,142,0,FALSE,9/2/2019,11/1/2019,0,9.8,FALSE,0.01 - 59.99,NeverBad,Current
Rushmore,8/1/2007,8/1/2007,185000,129739.26,5.75,8/1/2007,9/1/2037,10/1/2019,231250,80,519,99,42,0,0,3,2007,Fixed,CA,39780,5.75,146,0,FALSE,1/1/2019,11/1/2019,8,,FALSE,80.00 - 89.99,Reperforming,90+ Days
Rushmore,7/1/2007,7/1/2007,24900,20969.92,7.5,7/1/2007,8/1/2037,10/1/2019,31125,80,650,99,42,0,0,3,2007,Fixed,IL,16460,7.5,147,0,FALSE,10/1/2018,11/1/2019,11,,FALSE,80.00 - 89.99,Reperforming,In Foreclosure
Rushmore,4/1/2005,4/1/2005,525000,448376.56,6.62,4/1/2005,9/1/2049,10/1/2019,656250,80,708,99,40,0,0,3,2005,Fixed,FL,17500,6.62,174,0,FALSE,8/1/2018,11/1/2019,13,,FALSE,80.00 - 89.99,Reperforming,In Foreclosure
Select Portfolio Servicing,2/1/2008,2/1/2008,120000,105468.6,3.5,2/1/2008,2/1/2048,10/1/2019,458540.3133,26.17,703,0,40,0,0,3,2008,Fixed,FL,33100,3.5,140,0,FALSE,9/1/2019,11/1/2019,0,29.77,FALSE,0.01 - 59.99,Reperforming,Current
Rushmore,6/1/2006,6/1/2006,124600,98430.84,6.125,6/1/2006,7/1/2036,10/1/2019,155750,80,724,99,40,0,0,3,2006,Fixed,IL,16980,6.125,160,0,FALSE,9/1/2018,11/1/2019,12,,FALSE,80.00 - 89.99,Reperforming,Bankruptcy
Rushmore,11/1/2007,11/1/2007,241950,183231.28,3.75,11/1/2007,12/1/2037,10/1/2019,302437.5,80,533,99,42,0,0,3,2007,Fixed,DC,47900,3.75,143,0,FALSE,10/1/2019,11/1/2019,0,,FALSE,80.00 - 89.99,Reperforming,Current
Select Portfolio Servicing,12/1/2007,12/1/2007,68952.98,34088.46,2,12/1/2007,1/1/2028,10/1/2019,1126682.68,6.12,780,0,34,0,0,3,2007,Fixed,CA,31080,2,142,0,FALSE,9/10/2019,11/1/2019,0,12.38,FALSE,0.01 - 59.99,NeverBad,Current
